attendance_rate,avg_price,performance,preview,seats_sold,show,theater,theater_size,top_price,week,weekly_gross
0.9659,140.62,8,0,11004,Ain't Too Proud: The Life and Times of the Temptations,Imperial Theatre,1424,297,10/20/2019,1547412.74
0.9858,98.75,8,0,13620,Aladdin,New Amsterdam Theatre,1727,227.5,10/20/2019,1344971.1
0.9851,129.9,8,0,8086,Beautiful: The Carole King Musical,Stephen Sondheim Theatre,1026,247,10/20/2019,1050336
0.9821,94.15,8,0,11730,Beetlejuice,Winter Garden Theatre,1493,223,10/20/2019,1104331.5
0.8215,106.19,8,0,6809,Betrayal,Bernard B. Jacobs Theatre,1036,248,10/20/2019,723031.5
0.9301,88.19,8,0,8036,Chicago,Ambassador Theatre,1080,197,10/20/2019,708724.8
1.0188,120.46,8,0,8525,Come From Away,Gerald Schoenfeld Theatre,1046,297,10/20/2019,1026963.3
0.9958,109.48,1,5,5646,David Byrne's American Utopia,Hudson Theatre,945,329,10/20/2019,618120.26
1.0159,138.24,8,0,7997,Dear Evan Hansen,Music Box Theatre,984,297,10/20/2019,1105540.35
0.6239,79.65,7,0,4437,Derren Brown: Secret,Cort Theatre,1016,297,10/20/2019,353407.34
0.9271,135.4,8,0,5674,Freestyle Love Supreme,Booth Theatre,765,297,10/20/2019,768238.5
0.9743,82.01,8,0,13126,Frozen,St. James Theatre,1684,252.5,10/20/2019,1076414.7
1.012,192.85,8,0,7432,Hadestown,Walter Kerr Theatre,918,399,10/20/2019,1433274
1.0136,259.75,8,0,10736,Hamilton,Richard Rodgers Theatre,1324,847,10/20/2019,2788638
1,80.01,8,0,12976,"Harry Potter and the Cursed Child, Parts One and Two",Lyric Theatre,1622,296.5,10/20/2019,1038151.5
0.9618,45.46,8,0,4501,Linda Vista,Helen Hayes Theater,585,199,10/20/2019,204624.13
0.9558,100.42,8,0,9367,Mean Girls,August Wilson Theatre,1225,249.5,10/20/2019,940635.25
1.0083,213.19,8,0,10502,Moulin Rouge! The Musical!,Al Hirschfeld Theatre,1302,549,10/20/2019,2238887.5
0.8848,102.71,8,0,4608,Oklahoma!,Circle in the Square Theatre,651,249.5,10/20/2019,473275
0.9046,85.5,8,0,5739,Slave Play,John Golden Theatre,793,225,10/20/2019,490671
1.026,131.9,8,0,8594,The Book of Mormon,Eugene O'Neill Theatre,1047,477.5,10/20/2019,1133571.2
0.5643,84.8,8,0,4785,The Great Society,Vivian Beaumont Theater,1060,225,10/20/2019,405790.5
0.7446,87.55,8,0,3830,The Height of the Storm,Samuel J. Friedman Theatre,643,279,10/20/2019,335298
0.6663,111.73,0,6,4190,The Inheritance,Ethel Barrymore Theatre,1048,347,10/20/2019,468149.5
0.5213,54.02,7,1,4475,The Lightning Thief: The Percy Jackson Musical,Longacre Theatre,1073,197,10/20/2019,241741.8
0.9809,160.32,8,0,13309,The Lion King,Minskoff Theatre,1696,237,10/20/2019,2133723
0.8722,88.32,8,0,11199,The Phantom of the Opera,Majestic Theatre,1605,213,10/20/2019,989080.44
0.978,81.41,7,0,4936,The Rose Tattoo,American Airlines Theatre,721,297,10/20/2019,401815.2
0.8061,76.12,5,3,6436,The Sound Inside,Studio 54,998,275,10/20/2019,489909.5
1,134,0,7,10346,Tina: The Tina Turner Musical,Lunt-Fontanne Theatre,1478,273,10/20/2019,1386360
1.0172,188.01,8,0,11677,To Kill A Mockingbird,Sam S. Shubert Theatre,1435,748,10/20/2019,2195338.32
0.8138,97.61,8,0,10430,Tootsie,Marquis Theatre,1602,247,10/20/2019,1018056.3
0.9261,94.58,8,0,7742,Waitress,Brooks Atkinson Theatre,1045,350,10/20/2019,732233.8
0.9893,117.32,8,0,14302,Wicked,Gershwin Theatre,1807,240,10/20/2019,1677867
0.966,135.09,8,0,11005,Ain't Too Proud: The Life and Times of the Temptations,Imperial Theatre,1424,297,9/29/2019,1486705.24
0.9522,85.57,8,0,13156,Aladdin,New Amsterdam Theatre,1727,227.5,9/29/2019,1125745.2
0.9811,107.93,8,0,8053,Beautiful: The Carole King Musical,Stephen Sondheim Theatre,1026,247,9/29/2019,869182.2
0.8405,89.59,8,0,10039,Beetlejuice,Winter Garden Theatre,1493,223,9/29/2019,899376.92
0.7165,110.92,8,0,5938,Betrayal,Bernard B. Jacobs Theatre,1036,248,9/29/2019,658615.13
0.8028,84.78,8,0,6936,Chicago,Ambassador Theatre,1080,187,9/29/2019,588046.38
1.0128,115.95,8,0,8475,Come From Away,Gerald Schoenfeld Theatre,1046,297,9/29/2019,982669.14
0.9568,131.36,8,0,7532,Dear Evan Hansen,Music Box Theatre,984,297,9/29/2019,989409.4
0.6028,71.05,7,0,4321,Derren Brown: Secret,Cort Theatre,1024,297,9/29/2019,306989
0.8667,114.82,0,8,5304,Freestyle Love Supreme,Booth Theatre,765,297,9/29/2019,609021.5
0.7841,79.24,8,0,10564,Frozen,St. James Theatre,1684,252.5,9/29/2019,837078.5
1.012,184.26,8,0,7432,Hadestown,Walter Kerr Theatre,918,399,9/29/2019,1369455.5
1.0157,278.07,8,0,10758,Hamilton,Richard Rodgers Theatre,1324,847,9/29/2019,2991505
1,85.36,8,0,12976,"Harry Potter and the Cursed Child, Parts One and Two",Lyric Theatre,1622,296.5,9/29/2019,1107617.5
0.7658,38.44,0,8,3584,Linda Vista,Helen Hayes Theater,585,199,9/29/2019,137786.18
0.8389,85.22,8,0,8221,Mean Girls,August Wilson Theatre,1225,249.5,9/29/2019,700634.05
1.0078,205.7,8,0,10497,Moulin Rouge! The Musical!,Al Hirschfeld Theatre,1302,499,9/29/2019,2159241
0.8604,92.44,8,0,4481,Oklahoma!,Circle in the Square Theatre,651,249.5,9/29/2019,414223.38
0.9712,113.05,8,0,7560,Sea Wall/A Life,Hudson Theatre,973,299,9/29/2019,854677.9
0.9286,70.58,0,8,5891,Slave Play,John Golden Theatre,793,225,9/29/2019,415775.5
0.9975,126.07,8,0,8355,The Book of Mormon,Eugene O'Neill Theatre,1047,477.5,9/29/2019,1053286.7
0.7325,66.24,0,8,6212,The Great Society,Vivian Beaumont Theater,1060,225,9/29/2019,411488
0.765,61.21,8,0,3935,The Height of the Storm,Samuel J. Friedman Theatre,643,279,9/29/2019,240860.5
0.706,77.91,0,2,1494,The Inheritance,Ethel Barrymore Theatre,1058,347,9/29/2019,116396.5
0.5389,46.85,0,8,4626,The Lightning Thief: The Percy Jackson Musical,Longacre Theatre,1073,197,9/29/2019,216708.5
0.9929,136.12,8,0,13471,The Lion King,Minskoff Theatre,1696,237,9/29/2019,1833703
0.7672,87.36,8,0,9851,The Phantom of the Opera,Majestic Theatre,1605,213,9/29/2019,860614.69
0.8365,83.45,0,8,4825,The Rose Tattoo,American Airlines Theatre,721,297,9/29/2019,402652.2
0.6797,72.88,0,8,5427,The Sound Inside,Studio 54,998,275,9/29/2019,395519.5
1.0159,179.34,8,0,11662,To Kill A Mockingbird,Sam S. Shubert Theatre,1435,548,9/29/2019,2091418.84
0.681,93.59,8,0,8728,Tootsie,Marquis Theatre,1602,247,9/29/2019,816874.5
0.7877,87.37,8,0,6585,Waitress,Brooks Atkinson Theatre,1045,297,9/29/2019,575304.5
0.8719,109.19,8,0,12604,Wicked,Gershwin Theatre,1807,240,9/29/2019,1376195
0.9976,139.54,8,0,11365,Ain't Too Proud: The Life and Times of the Temptations,Imperial Theatre,1424,297,10/13/2019,1585819.08
0.9937,102.68,8,0,13729,Aladdin,New Amsterdam Theatre,1727,199.5,10/13/2019,1409738.1
1.0062,128.53,8,0,8259,Beautiful: The Carole King Musical,Stephen Sondheim Theatre,1026,247,10/13/2019,1061506.5
1.0085,103.7,8,0,12045,Beetlejuice,Winter Garden Theatre,1493,223,10/13/2019,1249044.7
0.8418,104.77,8,0,6977,Betrayal,Bernard B. Jacobs Theatre,1036,248,10/13/2019,730993.2
0.9762,91.39,8,0,8434,Chicago,Ambassador Theatre,1080,187,10/13/2019,770756.78
1.0208,126.16,8,0,8542,Come From Away,Gerald Schoenfeld Theatre,1046,297,10/13/2019,1077662
0.9402,141.38,0,6,5331,David Byrne's American Utopia,Hudson Theatre,945,329,10/13/2019,753708.75
1.0158,144.43,8,0,7996,Dear Evan Hansen,Music Box Theatre,984,297,10/13/2019,1154890.55
0.6895,70.15,7,0,4904,Derren Brown: Secret,Cort Theatre,1016,297,10/13/2019,344016.5
0.8835,141.6,8,0,5407,Freestyle Love Supreme,Booth Theatre,765,297,10/13/2019,765650.6
0.9881,85.69,8,0,13312,Frozen,St. James Theatre,1684,252.5,10/13/2019,1140768.1
1.0142,204.53,8,0,7448,Hadestown,Walter Kerr Theatre,918,499,10/13/2019,1523311
1.0151,287.48,8,0,10752,Hamilton,Richard Rodgers Theatre,1324,847,10/13/2019,3090992
1,96.59,8,0,12976,"Harry Potter and the Cursed Child, Parts One and Two",Lyric Theatre,1622,296.5,10/13/2019,1253330
0.8795,40.84,5,3,4116,Linda Vista,Helen Hayes Theater,585,199,10/13/2019,168097.15
0.9967,109.3,8,0,9768,Mean Girls,August Wilson Theatre,1225,249.5,10/13/2019,1067655.3
1.0081,209.87,8,0,10500,Moulin Rouge! The Musical!,Al Hirschfeld Theatre,1302,499,10/13/2019,2203608.5
0.9361,100.55,8,0,4875,Oklahoma!,Circle in the Square Theatre,651,249.5,10/13/2019,490176.1
0.9316,81.42,8,0,5910,Slave Play,John Golden Theatre,793,225,10/13/2019,481214
1.0337,136.67,8,0,8658,The Book of Mormon,Eugene O'Neill Theatre,1047,477.5,10/13/2019,1183322.55
0.6183,75.21,8,0,5243,The Great Society,Vivian Beaumont Theater,1060,225,10/13/2019,394327
0.7694,81.8,8,0,3958,The Height of the Storm,Samuel J. Friedman Theatre,643,279,10/13/2019,323779
0.7491,111.81,0,4,3170,The Inheritance,Ethel Barrymore Theatre,1058,297,10/13/2019,354447.5
0.6778,55.94,0,8,5818,The Lightning Thief: The Percy Jackson Musical,Longacre Theatre,1073,197,10/13/2019,325441.5
0.9864,167.55,8,0,13384,The Lion King,Minskoff Theatre,1696,250,10/13/2019,2242450
0.9727,92.43,8,0,12490,The Phantom of the Opera,Majestic Theatre,1605,213,10/13/2019,1154438.4
0.9721,84.29,0,8,5607,The Rose Tattoo,American Airlines Theatre,721,297,10/13/2019,472590
0.7009,76.56,0,8,5596,The Sound Inside,Studio 54,998,275,10/13/2019,428406
1,144.31,0,1,1476,Tina: The Tina Turner Musical,Lunt-Fontanne Theatre,1476,273,10/13/2019,212998
1.017,192.24,8,0,11675,To Kill A Mockingbird,Sam S. Shubert Theatre,1435,548,10/13/2019,2244415.34
0.7908,94.95,8,0,10135,Tootsie,Marquis Theatre,1602,223,10/13/2019,962345.6
0.92,97.7,8,0,7691,Waitress,Brooks Atkinson Theatre,1045,297,10/13/2019,751433.6
0.9799,121.84,8,0,15099,Wicked,Gershwin Theatre,1926,240,10/13/2019,1839657
0.9844,136.38,8,0,11214,Ain't Too Proud: The Life and Times of the Temptations,Imperial Theatre,1424,297,9/22/2019,1529416.06
0.8586,91.13,8,0,11862,Aladdin,New Amsterdam Theatre,1727,215.5,9/22/2019,1081016.1
0.9695,102.1,8,0,7958,Beautiful: The Carole King Musical,Stephen Sondheim Theatre,1026,247,9/22/2019,812477.7
0.881,81.39,8,0,10523,Beetlejuice,Winter Garden Theatre,1493,223,9/22/2019,856466.3
0.7447,110.71,8,0,6172,Betrayal,Bernard B. Jacobs Theatre,1036,248,9/22/2019,683274.4
0.8244,85.37,8,0,7123,Chicago,Ambassador Theatre,1080,187,9/22/2019,608087
1.0176,114.42,8,0,8515,Come From Away,Gerald Schoenfeld Theatre,1046,297,9/22/2019,974276.2
0.9607,132.6,8,0,7563,Dear Evan Hansen,Music Box Theatre,984,297,9/22/2019,1002863.3
0.638,70.93,7,0,4573,Derren Brown: Secret,Cort Theatre,1024,297,9/22/2019,324370
0.857,133.75,0,8,5245,Freestyle Love Supreme,Booth Theatre,765,297,9/22/2019,701508.54
0.8357,71.11,8,0,11258,Frozen,St. James Theatre,1684,252.5,9/22/2019,800562.5
1.0118,190.2,8,0,7431,Hadestown,Walter Kerr Theatre,918,399,9/22/2019,1413374
1.0151,276.56,8,0,10752,Hamilton,Richard Rodgers Theatre,1324,847,9/22/2019,2973580
1,78.45,8,0,12976,"Harry Potter and the Cursed Child, Parts One and Two",Lyric Theatre,1622,296.5,9/22/2019,1017975
0.8214,44.19,0,6,2883,Linda Vista,Helen Hayes Theater,585,199,9/22/2019,127393.42
0.8588,84.92,8,0,8416,Mean Girls,August Wilson Theatre,1225,249.5,9/22/2019,714663.05
1.008,205.49,8,0,10499,Moulin Rouge! The Musical!,Al Hirschfeld Theatre,1302,499,9/22/2019,2157446.5
0.8527,92.48,8,0,4441,Oklahoma!,Circle in the Square Theatre,651,249.5,9/22/2019,410703.63
0.9421,100.61,8,0,7333,Sea Wall/A Life,Hudson Theatre,973,299,9/22/2019,737787.5
0.9844,63.49,0,8,6245,Slave Play,John Golden Theatre,793,225,9/22/2019,396469
0.9852,124.34,8,0,8252,The Book of Mormon,Eugene O'Neill Theatre,1047,477.5,9/22/2019,1026084.75
0.6471,73.63,0,8,5487,The Great Society,Vivian Beaumont Theater,1060,225,9/22/2019,404000.5
0.8906,65.41,0,8,4581,The Height of the Storm,Samuel J. Friedman Theatre,643,279,9/22/2019,299624
0.6572,49.85,0,5,3526,The Lightning Thief: The Percy Jackson Musical,Longacre Theatre,1073,197,9/22/2019,175766.5
0.9701,140.31,8,0,13162,The Lion King,Minskoff Theatre,1696,237,9/22/2019,1846698
0.747,86.4,8,0,9591,The Phantom of the Opera,Majestic Theatre,1605,213,9/22/2019,828670.22
0.9764,75.79,0,3,2112,The Rose Tattoo,American Airlines Theatre,721,297,9/22/2019,160063
0.7069,73.13,0,8,5644,The Sound Inside,Studio 54,998,275,9/22/2019,412733
1.0167,179.34,8,0,11672,To Kill A Mockingbird,Sam S. Shubert Theatre,1435,548,9/22/2019,2093266.84
0.7417,92.53,8,0,9505,Tootsie,Marquis Theatre,1602,247,9/22/2019,879511.4
0.7745,86.88,8,0,6475,Waitress,Brooks Atkinson Theatre,1045,297,9/22/2019,562579.7
0.8187,110.54,8,0,11835,Wicked,Gershwin Theatre,1807,240,9/22/2019,1308200
0.9591,137.15,8,0,10926,Ain't Too Proud: The Life and Times of the Temptations,Imperial Theatre,1424,297,10/6/2019,1498490.8
0.9637,90.4,8,0,13314,Aladdin,New Amsterdam Theatre,1727,227.5,10/6/2019,1203519.4
0.9825,112.3,8,0,8064,Beautiful: The Carole King Musical,Stephen Sondheim Theatre,1026,247,10/6/2019,905609.6
0.8675,89.34,8,0,10361,Beetlejuice,Winter Garden Theatre,1493,223,10/6/2019,925658.32
0.7379,112.64,8,0,6116,Betrayal,Bernard B. Jacobs Theatre,1036,248,10/6/2019,688901.25
0.8395,85.51,8,0,7253,Chicago,Ambassador Theatre,1080,187,10/6/2019,620207.4
1.0092,111.98,8,0,8445,Come From Away,Gerald Schoenfeld Theatre,1046,297,10/6/2019,945635.8
0.9897,141.9,0,3,2788,David Byrne's American Utopia,Hudson Theatre,939,329,10/6/2019,395604
0.9764,128.95,8,0,7686,Dear Evan Hansen,Music Box Theatre,984,297,10/6/2019,991113.59
0.6999,60.93,7,0,4978,Derren Brown: Secret,Cort Theatre,1016,297,10/6/2019,303287.5
0.983,105.98,5,3,6016,Freestyle Love Supreme,Booth Theatre,765,297,10/6/2019,637560.95
0.8858,81.11,8,0,11934,Frozen,St. James Theatre,1684,252.5,10/6/2019,967974.1
1.009,184.07,8,0,7410,Hadestown,Walter Kerr Theatre,918,399,10/6/2019,1363952
1.0151,278.35,8,0,10752,Hamilton,Richard Rodgers Theatre,1324,847,10/6/2019,2992845
1,77.17,8,0,12976,"Harry Potter and the Cursed Child, Parts One and Two",Lyric Theatre,1622,296.5,10/6/2019,1001338.5
0.7964,44.65,0,8,3727,Linda Vista,Helen Hayes Theater,585,199,10/6/2019,166400.06
0.8782,88.49,8,0,8606,Mean Girls,August Wilson Theatre,1225,249.5,10/6/2019,761531.4
1.0075,207.44,8,0,10494,Moulin Rouge! The Musical!,Al Hirschfeld Theatre,1302,499,10/6/2019,2176909.5
0.832,95.01,8,0,4333,Oklahoma!,Circle in the Square Theatre,651,249.5,10/6/2019,411667.96
0.9444,58.9,1,7,5991,Slave Play,John Golden Theatre,793,225,10/6/2019,352872.5
0.9795,124.97,8,0,8204,The Book of Mormon,Eugene O'Neill Theatre,1047,477.5,10/6/2019,1025261.25
0.6692,67.45,8,0,5675,The Great Society,Vivian Beaumont Theater,1060,225,10/6/2019,382784.5
0.7461,84.95,8,0,3838,The Height of the Storm,Samuel J. Friedman Theatre,643,279,10/6/2019,326052
0.7673,66.89,0,5,4059,The Inheritance,Ethel Barrymore Theatre,1058,297,10/6/2019,271487.64
0.478,53.49,0,8,4103,The Lightning Thief: The Percy Jackson Musical,Longacre Theatre,1073,197,10/6/2019,219484
0.98,146.6,8,0,13296,The Lion King,Minskoff Theatre,1696,237,10/6/2019,1949218
0.8168,88.33,8,0,10488,The Phantom of the Opera,Majestic Theatre,1605,213,10/6/2019,926380.8
0.9048,82.01,0,8,5219,The Rose Tattoo,American Airlines Theatre,721,297,10/6/2019,428035.7
0.6685,77.29,0,8,5337,The Sound Inside,Studio 54,998,275,10/6/2019,412475
1.0152,182.81,8,0,11655,To Kill A Mockingbird,Sam S. Shubert Theatre,1435,548,10/6/2019,2130636
0.6925,89.76,8,0,8875,Tootsie,Marquis Theatre,1602,247,10/6/2019,796591
0.8161,89.6,8,0,6823,Waitress,Brooks Atkinson Theatre,1045,350,10/6/2019,611357.9
0.8336,108.53,8,0,12051,Wicked,Gershwin Theatre,1807,240,10/6/2019,1307871
